3	4	3	4	441	3
3	3	3	3	441	4
4	4	4	4	441	5
4	4	3	3	441	6
3	3	3	3	441	7
3	4	3	3	441	8
3	3	3	3	441	9
4	4	4	3	441	10
2	4	1	1	445	1
2	4	2	1	445	2
1	3	2	1	445	3
2	3	2	2	445	4
3	3	3	2	445	5
2	2	2	2	445	6
2	2	2	2	445	7
3	3	3	3	445	8
3	3	2	3	445	9
.	.	.	.	445	10
3	2	2	4	447	1
3	3	4	4	447	2
4	3	2	4	447	3
1	1	1	.	447	4
1	2	1	4	447	5
2	2	2	4	447	6
2	1	1	4	447	7
2	1	1	4	447	8
2	1	2	4	447	9
1	2	1	4	447	10
2	1	1	1	451	1
1	1	1	1	451	2
1	1	1	1	451	3
1	1	1	1	451	4
1	1	1	1	451	5
1	1	1	1	451	6
1	1	1	1	451	7
1	1	1	1	451	8
1	2	1	1	451	9
2	2	1	1	451	10
5	4	2	2	453	1
.	.	.	.	453	2
.	.	.	.	453	3
4	4	3	2	453	4
.	.	.	2	453	5
.	.	.	.	453	6
.	.	.	.	453	7
.	.	.	.	453	8
4	4	2	4	453	9
1	2	1	1	453	10
.	.	.	.	455	1
1	1	1	1	455	2
2	1	1	2	455	3
2	1	1	2	455	4
1	2	1	1	455	5
1	1	1	1	455	6
2	1	1	2	455	7
2	1	1	2	455	8
3	2	2	2	455	9
2	2	1	2	455	10
1	1	1	1	463	1
3	2	1	2	463	2
.	.	.	.	463	3
.	.	.	.	463	4
.	.	.	.	463	5
2	2	1	1	463	6
2	1	1	1	463	7
1	1	1	1	463	8
.	.	.	.	463	9
1	4	1	1	463	10
2	2	2	2	465	1
2	2	2	3	465	2
3	3	2	3	465	3
2	1	2	2	465	4
2	2	1	2	465	5
2	2	2	2	465	6
2	3	2	3	465	7
2	2	2	2	465	8
2	3	2	2	465	9
2	2	2	2	465	10
2	3	3	2	469	1
2	2	2	2	469	2
3	4	3	2	469	3
1	1	1	1	469	4
.	.	.	.	469	5
2	2	1	1	469	6
2	1	2	1	469	7
2	1	1	1	469	8
2	2	2	2	469	9
1	1	1	1	469	10
2	3	1	1	471	1
1	1	1	1	471	2
1	1	1	1	471	3
1	1	1	1	471	4
.	.	.	.	471	5
1	1	1	1	471	6
2	2	1	1	471	7
1	1	2	1	471	8
1	2	2	1	471	9
.	.	.	.	471	10
3	1	2	2	473	1
3	4	3	3	473	2
2	3	3	3	473	3
2	2	2	2	473	4
3	3	3	5	473	5
3	3	3	5	473	6
3	3	3	4	473	7
3	3	4	5	473	8
3	3	4	4	473	9
2	5	2	2	473	10
1	2	1	1	477	1
2	1	2	1	477	2
3	3	3	2	477	3
1	4	1	4	477	4
.	.	.	.	477	5
.	.	.	.	477	6
3	4	3	3	477	7
1	2	1	1	477	8
1	2	1	1	477	9
1	3	1	1	477	10
3	4	4	4	479	1
2	3	3	2	479	2
3	3	3	3	479	3
3	4	4	3	479	4
3	3	3	3	479	5
2	3	3	3	479	6
2	3	2	2	479	7
2	3	2	2	479	8
2	3	2	2	479	9
2	4	4	3	479	10
4	5	4	5	481	1
5	5	3	4	481	2
3	4	3	4	481	3
3	3	3	3	481	4
4	4	4	4	481	5
4	4	3	3	481	6
3	3	3	3	481	7
3	4	3	3	481	8
3	3	3	3	481	9
4	4	4	3	481	10
2	1	2	1	485	1
2	1	1	3	485	2
3	3	2	3	485	3
2	3	3	3	485	4
3	3	3	3	485	5
3	4	3	3	485	6
.	.	.	.	485	7
3	3	3	3	485	8
3	4	4	3	485	9
3	4	4	3	485	10
3	2	2	3	489	1
1	1	1	1	489	2
1	1	1	1	489	3
1	1	1	1	489	4
1	1	1	1	489	5
3	3	2	3	489	6
3	2	2	3	489	7
3	2	2	3	489	8
3	3	2	3	489	9
3	2	1	3	489	10
3	4	3	4	491	1
3	3	3	3	491	2
3	3	3	3	491	3
2	2	2	2	491	4
3	3	3	3	491	5
2	3	3	3	491	6
2	3	3	3	491	7
2	2	3	2	491	8
2	2	2	2	491	9
3	3	3	3	491	10
.	.	.	.	493	1
.	.	.	.	493	2
.	.	.	.	493	3
.	.	.	.	493	4
1	4	2	2	493	5
3	4	4	3	493	6
.	.	.	.	493	7
2	2	2	2	493	8
.	.	.	.	493	9
1	1	1	1	493	10
3	4	1	1	495	1
1	3	1	1	495	2
4	4	2	1	495	3
3	4	2	3	495	4
3	5	3	2	495	5
4	4	4	3	495	6
4	5	3	3	495	7
3	4	3	3	495	8
4	5	.	4	495	9
3	4	3	3	495	10
1	1	1	1	497	1
1	1	1	1	497	2
2	1	1	1	497	3
4	3	3	1	497	4
1	1	1	1	497	5
3	2	1	1	497	6
2	1	1	1	497	7
1	2	1	1	497	8
1	1	1	1	497	9
3	2	1	2	497	10
3	4	4	4	499	1
3	3	3	2	499	2
3	3	3	3	499	3
2	3	2	3	499	4
3	3	3	1	499	5
2	1	1	2	499	6
2	2	1	2	499	7
2	3	2	2	499	8
2	3	2	2	499	9
2	3	4	2	499	10
2	3	3	2	501	1
1	3	3	1	501	2
2	3	2	2	501	3
2	3	2	2	501	4
2	3	2	2	501	5
2	3	2	2	501	6
1	3	2	2	501	7
2	3	2	2	501	8
2	3	2	2	501	9
2	3	2	2	501	10
2	2	2	2	505	1
2	3	2	2	505	2
3	1	3	3	505	3
1	1	1	1	505	4
2	3	2	2	505	5
1	1	1	1	505	6
2	3	1	3	505	7
1	2	1	2	505	8
2	4	2	4	505	9
1	4	1	3	505	10
3	4	3	3	507	1
3	5	3	3	507	2
3	4	2	3	507	3
2	3	1	2	507	4
2	5	1	3	507	5
2	4	2	4	507	6
2	5	1	4	507	7
2	4	1	4	507	8
1	5	1	3	507	9
2	5	1	3	507	10
1	3	2	1	511	1
1	3	3	1	511	2
2	4	3	3	511	3
1	3	3	1	511	4
1	1	2	3	511	5
.	.	.	.	511	6
1	3	3	3	511	7
1	1	3	2	511	8
1	1	2	2	511	9
.	.	.	.	511	10
3	2	2	1	515	1
2	2	1	1	515	2
2	2	3	2	515	3
3	3	3	3	515	4
3	3	3	2	515	5
2	2	4	2	515	6
4	4	4	4	515	7
4	4	4	4	515	8
.	.	.	.	515	9
